TipoInstituicao;CodInst;AnoMes;NomeRelatorio;NumeroRelatorio;Grupo;Conta;NomeColuna;DescricaoColuna;Saldo
1;00068987;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];590878586.18
1;00068987;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];361321303.08
1;00068987;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];520120447.49
1;00068987;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];324978760.26
1;00068987;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];70758138.69
1;00068987;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-2300902.74
1;00068987;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;59855232.09
1;00068987;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.17871844576453
1;00068987;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.147356828518021
1;00075847;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];2779062177.9
1;00075847;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];1372118281.03
1;00075847;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];2523529240.92
1;00075847;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];2388419724.21
1;00075847;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];255532936.98
1;00075847;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];9635157.61
1;00075847;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;255502872.9
1;00075847;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0737947720352228
1;00075847;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.157676576211845
1;00106180;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];1480456001.42
1;00106180;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];50685390.68
1;00106180;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];1358517512.94
1;00106180;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00106180;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];121938488.48
1;00106180;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];342365.270000001
1;00106180;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;104529698.59
1;00106180;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0325124534543059
1;00106180;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.307679826941773
1;00129753;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];1854498.56
1;00129753;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];829392.07
1;00129753;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];306433.94
1;00129753;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00129753;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];1548064.62
1;00129753;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];11254.16
1;00129753;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;1548064.62
1;00129753;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.000553077687415917
1;00129753;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.878505362472526
1;00141155;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];6339938.26
1;00141155;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];2427435.35
1;00141155;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];729559.25
1;00141155;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00141155;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];5610379.01
1;00141155;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-39723.82
1;00141155;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;5610379.01
1;00141155;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0841754664271782
1;00141155;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;1.01285722383382
1;00184068;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];2071535532.63
1;00184068;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];24190231.28
1;00184068;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];1962305544.68
1;00184068;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];0.0
1;00184068;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];109229987.95
1;00184068;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];225824.189999999
1;00184068;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;109229987.95
1;00184068;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0021861978974978
1;00184068;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.210707087186985
1;00204963;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];167207384.33
1;00204963;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];92512596.65
1;00204963;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];140914788.48
1;00204963;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];136402842.01
1;00204963;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];26292595.85
1;00204963;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];-75696.1599999997
1;00204963;202403;Resumo;1;;79649;Patrimônio de Referência para Comparação com o RWA;Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II;25906290.16
1;00204963;202403;Resumo;1;;79662;Índice de Imobilização;Relação entre Ativo Permanente e Patrimônio de Referência;0.0676454636760696
1;00204963;202403;Resumo;1;;79664;Índice de Basileia;Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco;0.182708422885227
1;00259231;202403;Resumo;1;;78182;Ativo Total;[10000007] + [20000004];717344778.76
1;00259231;202403;Resumo;1;;78183;Carteira de Crédito Classificada;[31000000];454921534.02
1;00259231;202403;Resumo;1;;78184;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;[40000008] + [50000005];610123934.51
1;00259231;202403;Resumo;1;;78185;Captações;[41000007] + [42000006] + [43000005] + [46000002];586142878.62
1;00259231;202403;Resumo;1;;78186;Patrimônio Líquido;[60000002] + [70000009]+ [80000006];107220844.25
1;00259231;202403;Resumo;1;;78187;Lucro Líquido;[70000009]+[80000006]-[81956001];2419377.67
